Layer_i,Layer_j,AUC,Diff_P_N,AUC_abs
8,17,0.6083419999999999,0.019143912613391822,0.10834199999999994
16,22,0.608202,0.017282949745655085,0.10820200000000002
21,27,0.6081685000000001,0.019787657380104046,0.10816850000000011
16,23,0.6081645,0.01864400243759154,0.1081645
16,25,0.60768,0.01950442886352538,0.10768
17,21,0.607664,0.014063768625259404,0.10766399999999998
16,20,0.607244,0.01302768969535828,0.107244
16,21,0.6070580000000001,0.015430749595165244,0.1070580000000001
8,16,0.6068715,0.01807497155666349,0.10687150000000001
8,13,0.6068524999999999,0.01594374048709868,0.1068524999999999
7,18,0.606734,0.01987730288505557,0.106734
27,30,0.606648,0.021302323818206792,0.10664799999999997
27,31,0.606509,0.02760865652561184,0.10650899999999996
11,18,0.606243,0.016002475500106805,0.10624299999999998
13,24,0.606235,0.02109986358880994,0.10623499999999997
5,17,0.6061690000000001,0.019682684004306783,0.10616900000000007
18,21,0.605725,0.012013562142848974,0.10572499999999996
17,23,0.605653,0.017001435637474055,0.105653
6,14,0.6055834999999999,0.016117507636547124,0.10558349999999994
18,20,0.605179,0.008936543583869944,0.10517900000000002
11,14,0.60514,0.009558117270469652,0.10514000000000001
8,15,0.6050570000000001,0.01669645971059802,0.10505700000000007
18,22,0.605029,0.014115964770317097,0.10502900000000004
6,16,0.604749,0.01831674474477768,0.10474899999999998
3,18,0.6044720000000001,0.02010250389575957,0.10447200000000012
7,17,0.604417,0.018819432318210594,0.10441699999999998
20,26,0.6041529999999999,0.017559969723224655,0.10415299999999994
4,17,0.603773,0.019038715898990644,0.103773
18,19,0.6037045000000001,0.004607859075069422,0.10370450000000009
6,13,0.6036279999999999,0.015427955448627517,0.10362799999999994
28,30,0.6035305,0.0189716002345085,0.10353049999999997
13,20,0.603525,0.016937488615512863,0.10352499999999998
6,15,0.6034945,0.01696763020753861,0.10349450000000004
10,17,0.603291,0.018630367159843453,0.10329100000000002
13,22,0.6032320000000001,0.018688419818878144,0.1032320000000001
12,19,0.6030055000000001,0.017763914585113533,0.10300550000000008
13,21,0.602889,0.018023092150688175,0.10288900000000001
5,16,0.602708,0.018424115777015693,0.10270800000000002
2,18,0.6026469999999999,0.019715411186218224,0.10264699999999993
5,14,0.602602,0.016242768108844785,0.10260199999999997
9,18,0.6024965,0.01809523779153821,0.10249649999999999
10,13,0.602447,0.012836890995502476,0.10244699999999995
7,14,0.6015360000000001,0.015408945858478573,0.10153600000000007
5,15,0.6014825,0.017252614915370945,0.10148250000000003
13,23,0.601395,0.019631805062294005,0.10139500000000001
7,16,0.6013299999999999,0.017696675300598153,0.10132999999999992
11,17,0.6011435,0.0140500726699829,0.10114350000000005
10,14,0.601132,0.01397488862276075,0.101132
26,29,0.600911,0.01799579215049743,0.10091099999999997
10,16,0.6006750000000001,0.016958131790161146,0.10067500000000007
18,23,0.6006245,0.015183022022247306,0.1006245
5,13,0.6004559999999999,0.0156597328186035,0.10045599999999988
17,19,0.6000530000000001,0.007213032245635992,0.10005300000000006
13,25,0.599859,0.018967719078063994,0.09985900000000003
9,17,0.5998070000000001,0.016624092519283318,0.09980700000000009
7,15,0.5997655,0.016370617985725366,0.09976549999999995
1,18,0.599656,0.01971746093034743,0.09965599999999997
4,16,0.599599,0.017784776926040635,0.099599
19,24,0.59958,0.014628335118293784,0.09958
11,16,0.599013,0.01297439956665039,0.09901300000000002
11,13,0.598952,0.007537251770496356,0.09895200000000004
7,13,0.598369,0.014784719526767742,0.09836900000000004
15,19,0.598268,0.011171408355236043,0.09826800000000002
6,12,0.598007,0.014200522899627643,0.09800699999999996
4,14,0.5978870000000001,0.01563095378875734,0.09788700000000006
11,15,0.5976414999999999,0.010722936630249008,0.09764149999999994
5,12,0.597591,0.01461130446195602,0.09759099999999998
3,17,0.5974889999999999,0.01848431986570359,0.09748899999999994
4,15,0.597421,0.016556361496448513,0.09742099999999998
21,26,0.5973580000000001,0.015250123620033251,0.09735800000000006
8,12,0.5971139999999999,0.014179051876068105,0.09711399999999992
10,15,0.597102,0.015042100012302384,0.09710200000000002
14,19,0.596923,0.012148829042911535,0.09692299999999998
20,24,0.5967665,0.01243601888418197,0.09676649999999998
22,27,0.5962069999999999,0.016791213214397444,0.09620699999999993
9,16,0.5958875,0.015202404499053968,0.09588750000000001
9,14,0.595495,0.012957366406917581,0.095495
19,25,0.5954275,0.01434994822740554,0.0954275
16,19,0.5948775000000001,0.008627192795276642,0.09487750000000006
2,17,0.594192,0.01799152785539626,0.09419200000000005
3,16,0.5937355,0.01719641429185864,0.09373549999999997
